MODEL_NAME,FEATURES,LOSS_FUNCTION,TERMINATION_CRITERIA,THRESHOLD_METHOD,VALID_DATASET,PRECISION,RECALL,F1_SCORE,TP,FP,TN,FN
2302260316,"[0, 1, 2]",BCELoss,precision,pr,False,0.785053978355295,0.8139418681882209,0.7850589233734905,8160.660460021906,2466.3483023001095,12160.37677984666,2212.614457831325
2302260543,"[0, 1, 2]",BCELoss,precision,pr,True,0.7751037677967384,0.8009065673375853,0.7755941118384257,8010.929901423878,2710.226725082147,11916.498357064622,2362.3450164293536
2302250653,"[0, 1, 2]",BCELoss,loss,pr,True,0.7728361299031481,0.6690244031015429,0.6980677802000095,6688.178532311063,2086.0317634173057,12540.693318729463,3685.0963855421687
2302251026,"[0, 1, 2, 7]",BCELoss,loss,pr,False,0.7703206044660577,0.9109545926664597,0.8219416489837351,9310.884994523549,3411.2749178532313,11215.450164293537,1062.3899233296825
2302260040,"[0, 1, 2, 4, 5, 6]",BCELoss,loss,pr,False,0.9356560114456399,0.9873060458337661,0.9574560744255373,10242.21139101862,737.7272727272727,13888.997809419496,131.06352683461117
2302241531,"[0, 1, 2]",BCELoss,f1_score,pr,False,0.8228194957548804,0.925352337819571,0.8622078857102068,9454.893756845564,2438.7196056955095,12188.005476451259,918.3811610076671
2302252125,"[0, 1, 2, 7]",BCELoss,precision,pr,False,0.8771597599064943,0.9146138709526784,0.8883318480445693,9342.462212486309,1495.7579408543263,13130.967141292442,1030.8127053669223
2302251353,"[0, 1, 2]",BCELoss,loss,pr,False,0.7134499653434628,0.8204027853398356,0.7493477351497151,8209.37677984666,3737.7601314348303,10888.96495071194,2163.8981380065716
2302241907,"[0, 1, 2, 7]",BCELoss,precision,pr,True,0.8776536880287726,0.7056387701073582,0.7648878568071517,7021.139101861993,876.2858707557502,13750.439211391018,3352.135815991238
2302250729,"[0, 1, 2, 7]",BCELoss,f1_score,pr,True,0.8889981065746486,0.9424249184592374,0.9094166980987253,9658.585980284775,1381.6889375684557,13245.036144578313,714.6889375684557
2302242030,"[0, 1, 2, 7]",BCELoss,f1_score,pr,False,0.8166783885440115,0.9299147440914425,0.8603682645593527,9514.01752464403,2572.135815991238,12054.589266155532,859.2573932092005
2302251649,"[0, 1, 2, 4, 5, 6]",BCELoss,f1_score,pr,False,0.9340197775035455,0.992127249790043,0.9586446382562371,10289.711938663746,797.2694414019716,13829.455640744798,83.56297918948522
2302250509,"[0, 1, 2, 4, 5, 6]",BCELoss,precision,pr,True,0.959456373420373,0.949400523024897,0.9519414367889415,9835.653888280394,393.4753559693319,14233.249726177437,537.6210295728368
2302250023,"[0, 1, 2, 4, 5, 6]",BCELoss,loss,pr,True,0.9520136690358998,0.9739635735423613,0.960586012162852,10081.33077765608,485.39539978094194,14141.329682365827,291.94414019715225
2302260739,"[0, 1, 2, 4, 5, 6]",BCELoss,f1_score,pr,True,0.950429216496572,0.9868104320527875,0.9664143638180284,10213.511500547645,495.7075575027382,14131.01752464403,159.763417305586
2302251921,"[0, 1, 2]",BCELoss,f1_score,pr,True,0.8084663236660722,0.8995042204582063,0.8392672346980704,9131.316538882804,2619.1949616648412,12007.530120481928,1241.9583789704272
2302251201,"[0, 1, 2, 4, 5, 6]",BCELoss,precision,pr,False,0.9683129217945551,0.9435415288310715,0.9536883011705802,9759.996714129244,297.71631982475355,14329.008762322015,613.2782037239868
2302250310,"[0, 1, 2, 7]",BCELoss,loss,pr,True,0.8922349694938808,0.8681060223962175,0.873786884144757,8789.464403066813,1116.960569550931,13509.764512595837,1583.8105147864185
,,,2302271441,"[4, 5, 6]",BCELoss,precision,pr,False,0.8095899647087552,0.5361653907680364,0.5953597879239866,5861.34282584885,1198.5169769989047,13428.208105147864,4511.932092004381
2302271441,"[4, 5, 6]",BCELoss,precision,pr,False,0.809589964708755,0.5361653907680364,0.5953597879239866,5861.34282584885,1198.5169769989047,13428.208105147864,4511.932092004381
2302241531,"[0, 1, 2]",BCELoss,f1_score,pr,False,0.8231539015363648,0.9250970936698575,0.8624308698738125,9449.384615384615,2441.9824175824174,12187.020879120879,921.6120879120879
2302250729,"[0, 1, 2, 7]",BCELoss,f1_score,pr,True,0.8906523657947246,0.9433107224527655,0.9108667256300931,9681.041758241758,1381.8670329670329,13247.136263736264,689.954945054945
2302251201,"[0, 1, 2, 4, 5, 6]",BCELoss,precision,pr,False,0.9690293145916578,0.9436913271898606,0.9543477160929842,9758.075824175825,295.38021978021976,14333.623076923077,612.9208791208791
